input_model,input_column,tags,output_model,output_columns
model.qualtrics_source.stg_qualtrics__distribution_contact_tmp,_fivetran_synced,"{""Direct"":""The column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__distribution_contact,"{""_fivetran_synced"":""Directly copied to the output""}"
model.qualtrics_source.stg_qualtrics__distribution_contact_tmp,contact_frequency_rule_id,"{""Direct"":""The column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__distribution_contact,"{""contact_frequency_rule_id"":""Directly copied to the output""}"
model.qualtrics_source.stg_qualtrics__distribution_contact_tmp,contact_lookup_id,"{""Direct"":""The column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__distribution_contact,"{""contact_lookup_id"":""Directly copied to the output""}"
model.qualtrics_source.stg_qualtrics__distribution_contact_tmp,opened_at,"{""Cleaning"":""The column is cleaned by casting it to TIMESTAMP data type""}",model.qualtrics_source.stg_qualtrics__distribution_contact,"{""opened_at"":""Casted to TIMESTAMP and copied to the output""}"
model.qualtrics_source.stg_qualtrics__distribution_contact_tmp,response_completed_at,"{""Cleaning"":""The column is cleaned by casting it to TIMESTAMP data type""}",model.qualtrics_source.stg_qualtrics__distribution_contact,"{""response_completed_at"":""Casted to TIMESTAMP and copied to the output""}"
model.qualtrics_source.stg_qualtrics__distribution_contact_tmp,response_id,"{""Direct"":""The column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__distribution_contact,"{""response_id"":""Directly copied to the output""}"
model.qualtrics_source.stg_qualtrics__distribution_contact_tmp,response_started_at,"{""Cleaning"":""The column is cleaned by casting it to TIMESTAMP data type""}",model.qualtrics_source.stg_qualtrics__distribution_contact,"{""response_started_at"":""Casted to TIMESTAMP and copied to the output""}"
model.qualtrics_source.stg_qualtrics__distribution_contact_tmp,sent_at,"{""Cleaning"":""The column is cleaned by casting it to TIMESTAMP data type""}",model.qualtrics_source.stg_qualtrics__distribution_contact,"{""sent_at"":""Casted to TIMESTAMP and copied to the output""}"
model.qualtrics_source.stg_qualtrics__distribution_contact_tmp,status,"{""Direct"":""The status column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__distribution_contact,"{""status"":""Directly copied to the output 'status' column""}"
model.qualtrics_source.stg_qualtrics__distribution_contact_tmp,survey_link,"{""Direct"":""The survey_link column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__distribution_contact,"{""survey_link"":""Directly copied to the output 'survey_link' column""}"
model.qualtrics_source.stg_qualtrics__distribution_contact_tmp,survey_session_id,"{""Direct"":""The survey_session_id column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__distribution_contact,"{""survey_session_id"":""Directly copied to the output 'survey_session_id' column""}"
model.qualtrics_source.stg_qualtrics__question_option_tmp,key,"{""Direct"":""The column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__question_option,"{""key"":""Directly copied to the output 'key' column""}"
model.qualtrics_source.stg_qualtrics__question_option_tmp,question_id,"{""Direct"":""The column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__question_option,"{""question_id"":""Directly copied to the output 'question_id' column""}"
model.qualtrics_source.stg_qualtrics__question_option_tmp,survey_id,"{""Direct"":""The column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__question_option,"{""survey_id"":""Directly copied to the output 'survey_id' column""}"
model.qualtrics_source.stg_qualtrics__question_option_tmp,_fivetran_deleted,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is renamed to 'is_deleted' in the output""}",model.qualtrics_source.stg_qualtrics__question_option,"{""is_deleted"":""Directly copied and renamed to 'is_deleted' column""}"
model.qualtrics_source.stg_qualtrics__question_option_tmp,_fivetran_synced,"{""Direct"":""The column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__question_option,"{""_fivetran_synced"":""Directly copied to the output '_fivetran_synced' column""}"
model.qualtrics_source.stg_qualtrics__question_option_tmp,recode_value,"{""Direct"":""The column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__question_option,"{""recode_value"":""Directly copied to the output 'recode_value' column""}"
model.qualtrics_source.stg_qualtrics__question_option_tmp,text,"{""Direct"":""The column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__question_option,"{""text"":""Directly copied to the output 'text' column""}"
model.qualtrics_source.stg_qualtrics__question_tmp,id,"{""Cleaning"":""The column is cast to TEXT type and renamed""}",model.qualtrics_source.stg_qualtrics__question,"{""question_id"":""Directly mapped after casting and renaming""}"
model.qualtrics_source.stg_qualtrics__question_tmp,survey_id,"{""Cleaning"":""The column is cast to TEXT type""}",model.qualtrics_source.stg_qualtrics__question,"{""survey_id"":""Directly mapped after casting""}"
model.qualtrics_source.stg_qualtrics__question_tmp,_fivetran_deleted,"{""Cleaning"":""The column is cast to BOOLEAN type and renamed""}",model.qualtrics_source.stg_qualtrics__question,"{""is_deleted"":""Directly mapped after casting and renaming""}"
model.qualtrics_source.stg_qualtrics__question_tmp,_fivetran_synced,"{""Cleaning"":""The column is cast to TIMESTAMP type""}",model.qualtrics_source.stg_qualtrics__question,"{""_fivetran_synced"":""Directly mapped after casting""}"
model.qualtrics_source.stg_qualtrics__question_tmp,data_export_tag,"{""Cleaning"":""The column is cast to TEXT type""}",model.qualtrics_source.stg_qualtrics__question,"{""data_export_tag"":""Directly mapped after casting""}"
model.qualtrics_source.stg_qualtrics__question_tmp,data_visibility_hidden,"{""Cleaning"":""The column is cast to BOOLEAN type and renamed""}",model.qualtrics_source.stg_qualtrics__question,"{""is_data_hidden"":""Directly mapped after casting and renaming""}"
model.qualtrics_source.stg_qualtrics__question_tmp,data_visibility_private,"{""Cleaning"":""The column is cast to BOOLEAN type and renamed""}",model.qualtrics_source.stg_qualtrics__question,"{""is_data_private"":""Directly mapped after casting and renaming""}"
model.qualtrics_source.stg_qualtrics__question_tmp,next_answer_id,"{""Cleaning"":""The column is cast to INT type""}",model.qualtrics_source.stg_qualtrics__question,"{""next_answer_id"":""Directly mapped after casting""}"
model.qualtrics_source.stg_qualtrics__question_tmp,next_choice_id,"{""Cleaning"":""The column is cast to INT type""}",model.qualtrics_source.stg_qualtrics__question,"{""next_choice_id"":""Directly mapped after casting""}"
model.qualtrics_source.stg_qualtrics__question_tmp,question_description,"{""Cleaning"":""The column is cast to TEXT type""}",model.qualtrics_source.stg_qualtrics__question,"{""question_description"":""Directly mapped after casting""}"
model.qualtrics_source.stg_qualtrics__question_tmp,question_description_option,"{""Direct"":""This column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__question,"{""question_description_option"":""Directly copied to the output""}"
model.qualtrics_source.stg_qualtrics__question_tmp,question_text,"{""Direct"":""This column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__question,"{""question_text"":""Directly copied to the output""}"
model.qualtrics_source.stg_qualtrics__question_tmp,question_text_unsafe,"{""Direct"":""This column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__question,"{""question_text_unsafe"":""Directly copied to the output""}"
model.qualtrics_source.stg_qualtrics__question_tmp,question_type,"{""Direct"":""This column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__question,"{""question_type"":""Directly copied to the output""}"
model.qualtrics_source.stg_qualtrics__question_tmp,selector,"{""Direct"":""This column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__question,"{""selector"":""Directly copied to the output""}"
model.qualtrics_source.stg_qualtrics__question_tmp,sub_selector,"{""Direct"":""This column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__question,"{""sub_selector"":""Directly copied to the output""}"
model.qualtrics_source.stg_qualtrics__question_tmp,validation_setting_force_response,"{""Direct"":""This column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__question,"{""validation_setting_force_response"":""Directly copied to the output""}"
model.qualtrics_source.stg_qualtrics__question_tmp,validation_setting_force_response_type,"{""Direct"":""This column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__question,"{""validation_setting_force_response_type"":""Directly copied to the output""}"
model.qualtrics_source.stg_qualtrics__question_tmp,validation_setting_type,"{""Direct"":""This column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__question,"{""validation_setting_type"":""Directly copied to the output""}"
model.qualtrics_source.stg_qualtrics__survey_version_tmp,id,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as TEXT in the fields CTE""}",model.qualtrics_source.stg_qualtrics__survey_version,"{""version_id"":""Directly mapped and renamed""}"
model.qualtrics_source.stg_qualtrics__survey_version_tmp,survey_id,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as TEXT in the fields CTE""}",model.qualtrics_source.stg_qualtrics__survey_version,"{""survey_id"":""Directly mapped""}"
model.qualtrics_source.stg_qualtrics__survey_version_tmp,_fivetran_deleted,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as BOOLEAN in the fields CTE""}",model.qualtrics_source.stg_qualtrics__survey_version,"{""is_deleted"":""Directly mapped and renamed""}"
model.qualtrics_source.stg_qualtrics__survey_version_tmp,_fivetran_synced,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as TIMESTAMP in the fields CTE""}",model.qualtrics_source.stg_qualtrics__survey_version,"{""_fivetran_synced"":""Directly mapped""}"
model.qualtrics_source.stg_qualtrics__survey_version_tmp,creation_date,"{""Cleaning"":""The column is cast as TIMESTAMP in the fields CTE and then again in the final CTE""}",model.qualtrics_source.stg_qualtrics__survey_version,"{""created_at"":""Mapped and renamed after casting""}"
model.qualtrics_source.stg_qualtrics__survey_version_tmp,description,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as TEXT in the fields CTE""}",model.qualtrics_source.stg_qualtrics__survey_version,"{""version_description"":""Directly mapped and renamed""}"
model.qualtrics_source.stg_qualtrics__survey_version_tmp,published,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as BOOLEAN in the fields CTE""}",model.qualtrics_source.stg_qualtrics__survey_version,"{""is_published"":""Directly mapped and renamed""}"
model.qualtrics_source.stg_qualtrics__survey_version_tmp,user_id,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as TEXT in the fields CTE""}",model.qualtrics_source.stg_qualtrics__survey_version,"{""publisher_user_id"":""Directly mapped and renamed""}"
model.qualtrics_source.stg_qualtrics__survey_version_tmp,version_number,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as INT in the fields CTE""}",model.qualtrics_source.stg_qualtrics__survey_version,"{""version_number"":""Directly mapped""}"
model.qualtrics_source.stg_qualtrics__survey_version_tmp,was_published,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as BOOLEAN in the fields CTE""}",model.qualtrics_source.stg_qualtrics__survey_version,"{""was_published"":""Directly mapped""}"
model.qualtrics_source.stg_qualtrics__block_question_tmp,block_id,"{""Cleaning"":""The column is cast to TEXT data type""}",model.qualtrics_source.stg_qualtrics__block_question,"{""block_id"":""Directly copied after casting""}"
model.qualtrics_source.stg_qualtrics__block_question_tmp,question_id,"{""Cleaning"":""The column is cast to TEXT data type""}",model.qualtrics_source.stg_qualtrics__block_question,"{""question_id"":""Directly copied after casting""}"
model.qualtrics_source.stg_qualtrics__block_question_tmp,survey_id,"{""Cleaning"":""The column is cast to TEXT data type""}",model.qualtrics_source.stg_qualtrics__block_question,"{""survey_id"":""Directly copied after casting""}"
model.qualtrics_source.stg_qualtrics__block_question_tmp,_fivetran_deleted,"{""Cleaning"":""The column is cast to BOOLEAN data type""}",model.qualtrics_source.stg_qualtrics__block_question,"{""is_deleted"":""Renamed from '_fivetran_deleted' and directly copied after casting""}"
model.qualtrics_source.stg_qualtrics__block_question_tmp,_fivetran_synced,"{""Cleaning"":""The column is cast to TIMESTAMP data type""}",model.qualtrics_source.stg_qualtrics__block_question,"{""_fivetran_synced"":""Directly copied after casting""}"
model.qualtrics_source.stg_qualtrics__directory_tmp,id,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as TEXT type""}",model.qualtrics_source.stg_qualtrics__directory,"{""directory_id"":""Directly mapped after renaming""}"
model.qualtrics_source.stg_qualtrics__directory_tmp,_fivetran_deleted,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as BOOLEAN type""}",model.qualtrics_source.stg_qualtrics__directory,"{""is_deleted"":""Directly mapped after renaming""}"
model.qualtrics_source.stg_qualtrics__directory_tmp,_fivetran_synced,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as TIMESTAMP type""}",model.qualtrics_source.stg_qualtrics__directory,"{""_fivetran_synced"":""Directly mapped without renaming""}"
model.qualtrics_source.stg_qualtrics__directory_tmp,deduplication_criteria_email,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as BOOLEAN type""}",model.qualtrics_source.stg_qualtrics__directory,"{""is_deduped_on_email"":""Directly mapped after renaming""}"
model.qualtrics_source.stg_qualtrics__directory_tmp,deduplication_criteria_external_data_reference,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as BOOLEAN type""}",model.qualtrics_source.stg_qualtrics__directory,"{""is_deduped_on_ext_ref"":""Directly mapped after renaming""}"
model.qualtrics_source.stg_qualtrics__directory_tmp,deduplication_criteria_first_name,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as BOOLEAN type""}",model.qualtrics_source.stg_qualtrics__directory,"{""is_deduped_on_first_name"":""Directly mapped after renaming""}"
model.qualtrics_source.stg_qualtrics__directory_tmp,deduplication_criteria_last_name,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as BOOLEAN type""}",model.qualtrics_source.stg_qualtrics__directory,"{""is_deduped_on_last_name"":""Directly mapped after renaming""}"
model.qualtrics_source.stg_qualtrics__directory_tmp,deduplication_criteria_phone,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as BOOLEAN type""}",model.qualtrics_source.stg_qualtrics__directory,"{""is_deduped_on_phone"":""Directly mapped after renaming""}"
model.qualtrics_source.stg_qualtrics__directory_tmp,is_default,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as BOOLEAN type""}",model.qualtrics_source.stg_qualtrics__directory,"{""is_default"":""Directly mapped without renaming""}"
model.qualtrics_source.stg_qualtrics__directory_tmp,name,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as TEXT type""}",model.qualtrics_source.stg_qualtrics__directory,"{""name"":""Directly mapped without renaming""}"
model.qualtrics_source.stg_qualtrics__survey_response_tmp,id,"{""Cleaning"":""The column is cast as TEXT and renamed""}",model.qualtrics_source.stg_qualtrics__survey_response,"{""response_id"":""Directly mapped after renaming""}"
model.qualtrics_source.stg_qualtrics__survey_response_tmp,_fivetran_synced,"{""Direct"":""The column is directly copied without transformation""}",model.qualtrics_source.stg_qualtrics__survey_response,"{""_fivetran_synced"":""Directly copied""}"
model.qualtrics_source.stg_qualtrics__survey_response_tmp,distribution_channel,"{""Direct"":""The column is directly copied without transformation""}",model.qualtrics_source.stg_qualtrics__survey_response,"{""distribution_channel"":""Directly copied""}"
model.qualtrics_source.stg_qualtrics__survey_response_tmp,duration_in_seconds,"{""Direct"":""The column is directly copied without transformation""}",model.qualtrics_source.stg_qualtrics__survey_response,"{""duration_in_seconds"":""Directly copied""}"
model.qualtrics_source.stg_qualtrics__survey_response_tmp,end_date,"{""Cleaning"":""The column is cast as TIMESTAMP""}",model.qualtrics_source.stg_qualtrics__survey_response,"{""finished_at"":""Mapped after casting to TIMESTAMP""}"
model.qualtrics_source.stg_qualtrics__survey_response_tmp,finished,"{""Cleaning"":""The column is transformed into a boolean""}",model.qualtrics_source.stg_qualtrics__survey_response,"{""is_finished"":""Mapped after transformation to boolean""}"
model.qualtrics_source.stg_qualtrics__survey_response_tmp,ip_address,"{""Direct"":""The column is directly copied without transformation""}",model.qualtrics_source.stg_qualtrics__survey_response,"{""ip_address"":""Directly copied""}"
model.qualtrics_source.stg_qualtrics__survey_response_tmp,last_modified_date,"{""Cleaning"":""The column is cast as TIMESTAMP""}",model.qualtrics_source.stg_qualtrics__survey_response,"{""last_modified_at"":""Mapped after casting to TIMESTAMP""}"
model.qualtrics_source.stg_qualtrics__survey_response_tmp,location_latitude,"{""Direct"":""The column is directly copied without transformation""}",model.qualtrics_source.stg_qualtrics__survey_response,"{""location_latitude"":""Directly copied""}"
model.qualtrics_source.stg_qualtrics__survey_response_tmp,location_longitude,"{""Direct"":""The column is directly copied without transformation""}",model.qualtrics_source.stg_qualtrics__survey_response,"{""location_longitude"":""Directly copied""}"
model.qualtrics_source.stg_qualtrics__survey_response_tmp,progress,"{""Direct"":""The column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__survey_response,"{""progress"":""Directly copied to the output""}"
model.qualtrics_source.stg_qualtrics__survey_response_tmp,recipient_email,"{""Cleaning"":""The column is cleaned by converting to lowercase""}",model.qualtrics_source.stg_qualtrics__survey_response,"{""recipient_email"":""Transformed to lowercase and mapped to the output""}"
model.qualtrics_source.stg_qualtrics__survey_response_tmp,recipient_first_name,"{""Direct"":""The column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__survey_response,"{""recipient_first_name"":""Directly copied to the output""}"
model.qualtrics_source.stg_qualtrics__survey_response_tmp,recipient_last_name,"{""Direct"":""The column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__survey_response,"{""recipient_last_name"":""Directly copied to the output""}"
model.qualtrics_source.stg_qualtrics__survey_response_tmp,recorded_date,"{""Cleaning"":""The column is cleaned by casting to TIMESTAMP""}",model.qualtrics_source.stg_qualtrics__survey_response,"{""recorded_date"":""Cast to TIMESTAMP and mapped to the output""}"
model.qualtrics_source.stg_qualtrics__survey_response_tmp,start_date,"{""Cleaning"":""The column is cleaned by casting to TIMESTAMP""}",model.qualtrics_source.stg_qualtrics__survey_response,"{""started_at"":""Cast to TIMESTAMP and mapped to the output with a new name""}"
model.qualtrics_source.stg_qualtrics__survey_response_tmp,status,"{""Direct"":""The column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__survey_response,"{""status"":""Directly copied to the output""}"
model.qualtrics_source.stg_qualtrics__survey_response_tmp,survey_id,"{""Direct"":""The column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__survey_response,"{""survey_id"":""Directly copied to the output""}"
model.qualtrics_source.stg_qualtrics__survey_response_tmp,user_language,"{""Direct"":""The column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__survey_response,"{""user_language"":""Directly copied to the output""}"
model.qualtrics_source.stg_qualtrics__survey_tmp,id,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as TEXT in the 'fields' CTE""}",model.qualtrics_source.stg_qualtrics__survey,"{""survey_id"":""Directly mapped and renamed""}"
model.qualtrics_source.stg_qualtrics__survey_tmp,_fivetran_deleted,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as BOOLEAN in the 'fields' CTE""}",model.qualtrics_source.stg_qualtrics__survey,"{""is_deleted"":""Directly mapped and renamed""}"
model.qualtrics_source.stg_qualtrics__survey_tmp,_fivetran_synced,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as TIMESTAMP in the 'fields' CTE""}",model.qualtrics_source.stg_qualtrics__survey,"{""_fivetran_synced"":""Directly mapped without renaming""}"
model.qualtrics_source.stg_qualtrics__survey_tmp,auto_scoring_category,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as TEXT in the 'fields' CTE""}",model.qualtrics_source.stg_qualtrics__survey,"{""auto_scoring_category"":""Directly mapped without renaming""}"
model.qualtrics_source.stg_qualtrics__survey_tmp,brand_base_url,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as TEXT in the 'fields' CTE""}",model.qualtrics_source.stg_qualtrics__survey,"{""brand_base_url"":""Directly mapped without renaming""}"
model.qualtrics_source.stg_qualtrics__survey_tmp,brand_id,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as TEXT in the 'fields' CTE""}",model.qualtrics_source.stg_qualtrics__survey,"{""brand_id"":""Directly mapped without renaming""}"
model.qualtrics_source.stg_qualtrics__survey_tmp,bundle_short_name,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as TEXT in the 'fields' CTE""}",model.qualtrics_source.stg_qualtrics__survey,"{""bundle_short_name"":""Directly mapped without renaming""}"
model.qualtrics_source.stg_qualtrics__survey_tmp,composition_type,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as TEXT in the 'fields' CTE""}",model.qualtrics_source.stg_qualtrics__survey,"{""composition_type"":""Directly mapped without renaming""}"
model.qualtrics_source.stg_qualtrics__survey_tmp,creator_id,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as TEXT in the 'fields' CTE""}",model.qualtrics_source.stg_qualtrics__survey,"{""creator_user_id"":""Directly mapped and renamed""}"
model.qualtrics_source.stg_qualtrics__survey_tmp,default_scoring_category,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as TEXT in the 'fields' CTE""}",model.qualtrics_source.stg_qualtrics__survey,"{""default_scoring_category"":""Directly mapped without renaming""}"
model.qualtrics_source.stg_qualtrics__survey_tmp,division_id,"{""Direct"":""The column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__survey,"{""division_id"":""It is directly copied to the output column 'division_id'""}"
model.qualtrics_source.stg_qualtrics__survey_tmp,last_accessed,"{""Cleaning"":""The column is cleaned by casting it to TIMESTAMP data type""}",model.qualtrics_source.stg_qualtrics__survey,"{""last_accessed_at"":""It is cast to TIMESTAMP and renamed to 'last_accessed_at'""}"
model.qualtrics_source.stg_qualtrics__survey_tmp,last_activated,"{""Cleaning"":""The column is cleaned by casting it to TIMESTAMP data type""}",model.qualtrics_source.stg_qualtrics__survey,"{""last_activated_at"":""It is cast to TIMESTAMP and renamed to 'last_activated_at'""}"
model.qualtrics_source.stg_qualtrics__survey_tmp,last_modified,"{""Cleaning"":""The column is cleaned by casting it to TIMESTAMP data type""}",model.qualtrics_source.stg_qualtrics__survey,"{""last_modified_at"":""It is cast to TIMESTAMP and renamed to 'last_modified_at'""}"
model.qualtrics_source.stg_qualtrics__survey_tmp,option_survey_name,"{""Cleaning"":""The column is cleaned by casting it to TEXT type in the 'fields' CTE""}",model.qualtrics_source.stg_qualtrics__survey,"{""survey_name"":""It is directly mapped to the 'survey_name' column in the output""}"
model.qualtrics_source.stg_qualtrics__survey_tmp,owner_id,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as TEXT in the fields CTE""}",model.qualtrics_source.stg_qualtrics__survey,"{""owner_user_id"":""It is directly mapped and renamed in the final CTE""}"
model.qualtrics_source.stg_qualtrics__survey_tmp,project_category,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as TEXT in the fields CTE""}",model.qualtrics_source.stg_qualtrics__survey,"{""project_category"":""It is directly mapped in the final CTE""}"
model.qualtrics_source.stg_qualtrics__survey_tmp,project_type,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as TEXT in the fields CTE""}",model.qualtrics_source.stg_qualtrics__survey,"{""project_type"":""It is directly mapped in the final CTE""}"
model.qualtrics_source.stg_qualtrics__survey_tmp,registry_sha,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as TEXT in the fields CTE""}",model.qualtrics_source.stg_qualtrics__survey,"{""registry_sha"":""It is directly mapped in the final CTE""}"
model.qualtrics_source.stg_qualtrics__survey_tmp,registry_version,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as TEXT in the fields CTE""}",model.qualtrics_source.stg_qualtrics__survey,"{""registry_version"":""It is directly mapped in the final CTE""}"
model.qualtrics_source.stg_qualtrics__survey_tmp,schema_version,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as TEXT in the fields CTE""}",model.qualtrics_source.stg_qualtrics__survey,"{""schema_version"":""It is directly mapped in the final CTE""}"
model.qualtrics_source.stg_qualtrics__survey_tmp,scoring_summary_after_questions,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as BOOLEAN in the fields CTE""}",model.qualtrics_source.stg_qualtrics__survey,"{""scoring_summary_after_questions"":""It is directly mapped in the final CTE""}"
model.qualtrics_source.stg_qualtrics__survey_tmp,scoring_summary_after_survey,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is cast to BOOLEAN type in the 'fields' CTE""}",model.qualtrics_source.stg_qualtrics__survey,"{""scoring_summary_after_survey"":""Directly mapped to this output column""}"
