input_model,input_column,tags,output_model,output_columns
model.apple_store_source.stg_apple_store__app_store_device,impressions,"{""Direct"":""The column is directly copied"",""Cleaning"":""The column is coalesced with 0 if null""}",model.apple_store.apple_store__device_report,"{""impressions"":""Mapped to the output column with COALESCE applied""}"
model.apple_store_source.stg_apple_store__app_store_device,impressions_unique_device,"{""Direct"":""The column is directly copied"",""Cleaning"":""The column is coalesced with 0 if null""}",model.apple_store.apple_store__device_report,"{""impressions_unique_device"":""Mapped to the output column with COALESCE applied""}"
model.apple_store_source.stg_apple_store__app_store_device,page_views,"{""Direct"":""The column is directly copied"",""Cleaning"":""The column is coalesced with 0 if null""}",model.apple_store.apple_store__device_report,"{""page_views"":""Mapped to the output column with COALESCE applied""}"
model.apple_store_source.stg_apple_store__app_store_device,page_views_unique_device,"{""Direct"":""The column is directly copied"",""Cleaning"":""The column is coalesced with 0 if null""}",model.apple_store.apple_store__device_report,"{""page_views_unique_device"":""Mapped to the output column with COALESCE applied""}"
model.apple_store_source.stg_apple_store__downloads_device,date_day,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""The column is used as a key to join with other tables""}",model.apple_store.apple_store__device_report,"{""date_day"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__downloads_device,app_id,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""The column is used as a key to join with other tables""}",model.apple_store.apple_store__device_report,"{""app_id"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__downloads_device,source_type,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""The column is used as a key to join with other tables""}",model.apple_store.apple_store__device_report,"{""source_type"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__downloads_device,device,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""The column is used as a key to join with other tables""}",model.apple_store.apple_store__device_report,"{""device"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__downloads_device,first_time_downloads,"{""Direct"":""The column is directly copied, but with COALESCE applied to handle NULL values""}",model.apple_store.apple_store__device_report,"{""first_time_downloads"":""Copied to the output with COALESCE(downloads_device.first_time_downloads, 0)""}"
model.apple_store_source.stg_apple_store__downloads_device,redownloads,"{""Direct"":""The column is directly copied, but with COALESCE applied to handle NULL values""}",model.apple_store.apple_store__device_report,"{""redownloads"":""Copied to the output with COALESCE(downloads_device.redownloads, 0)""}"
model.apple_store_source.stg_apple_store__downloads_device,total_downloads,"{""Direct"":""The column is directly copied, but with COALESCE applied to handle NULL values""}",model.apple_store.apple_store__device_report,"{""total_downloads"":""Copied to the output with COALESCE(downloads_device.total_downloads, 0)""}"
model.apple_store_source.stg_apple_store__usage_device,date_day,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""The column is used as a key to join with other tables""}",model.apple_store.apple_store__device_report,"{""date_day"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__usage_device,app_id,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""The column is used as a key to join with other tables""}",model.apple_store.apple_store__device_report,"{""app_id"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__usage_device,source_type,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""The column is used as a key to join with other tables""}",model.apple_store.apple_store__device_report,"{""source_type"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__usage_device,device,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""The column is used as a key to join with other tables""}",model.apple_store.apple_store__device_report,"{""device"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__usage_device,active_devices,"{""Direct"":""The column is directly copied, with a COALESCE function to replace NULL values with 0""}",model.apple_store.apple_store__device_report,"{""active_devices"":""Copied to the output with COALESCE(usage_device.active_devices, 0)""}"
model.apple_store_source.stg_apple_store__usage_device,active_devices_last_30_days,"{""Direct"":""The column is directly copied, with a COALESCE function to replace NULL values with 0""}",model.apple_store.apple_store__device_report,"{""active_devices_last_30_days"":""Copied to the output with COALESCE(usage_device.active_devices_last_30_days, 0)""}"
model.apple_store_source.stg_apple_store__usage_device,deletions,"{""Direct"":""The column is directly copied, with a COALESCE function to replace NULL values with 0""}",model.apple_store.apple_store__device_report,"{""deletions"":""Copied to the output with COALESCE(usage_device.deletions, 0)""}"
model.apple_store_source.stg_apple_store__usage_device,installations,"{""Direct"":""The column is directly copied, with a COALESCE function to replace NULL values with 0""}",model.apple_store.apple_store__device_report,"{""installations"":""Copied to the output with COALESCE(usage_device.installations, 0)""}"
model.apple_store_source.stg_apple_store__usage_device,sessions,"{""Direct"":""The column is directly copied, with a COALESCE function to replace NULL values with 0""}",model.apple_store.apple_store__device_report,"{""sessions"":""Copied to the output with COALESCE(usage_device.sessions, 0)""}"
model.apple_store_source.stg_apple_store__app,app_id,"{""Direct"":""The app_id is directly copied to the output without transformation"",""Integration"":""The app_id is used as a key to join with other tables""}",model.apple_store.apple_store__territory_report,"{""app_id"":""Directly copied to the output column 'app_id'""}"
model.apple_store_source.stg_apple_store__app,app_name,"{""Direct"":""The app_name is directly copied to the output without transformation""}",model.apple_store.apple_store__territory_report,"{""app_name"":""Directly copied to the output column 'app_name'""}"
model.apple_store_source.stg_apple_store__app_store_territory,date_day,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as a key to join with other tables"",""Deduplication"":""Used in the DISTINCT selection of the reporting_grain CTE""}",model.apple_store.apple_store__territory_report,"{""date_day"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__app_store_territory,app_id,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as a key to join with other tables"",""Deduplication"":""Used in the DISTINCT selection of the reporting_grain CTE""}",model.apple_store.apple_store__territory_report,"{""app_id"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__app_store_territory,source_type,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as a key to join with other tables"",""Deduplication"":""Used in the DISTINCT selection of the reporting_grain CTE""}",model.apple_store.apple_store__territory_report,"{""source_type"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__app_store_territory,territory,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as a key to join with other tables"",""Deduplication"":""Used in the DISTINCT selection of the reporting_grain CTE"",""Cleaning"":""Used to determine the territory_short and region through joins with country_codes table""}",model.apple_store.apple_store__territory_report,"{""territory_long"":""Directly copied to the output"",""territory_short"":""Indirectly mapped through joins and COALESCE"",""region"":""Indirectly mapped through joins and COALESCE"",""sub_region"":""Indirectly mapped through joins and COALESCE""}"
model.apple_store_source.stg_apple_store__app_store_territory,impressions,"{""Direct"":""The column is directly copied, but with COALESCE to handle NULL values""}",model.apple_store.apple_store__territory_report,"{""impressions"":""Copied to the output with COALESCE(app_store_territory.impressions, 0)""}"
model.apple_store_source.stg_apple_store__app_store_territory,impressions_unique_device,"{""Direct"":""The column is directly copied, but with COALESCE to handle NULL values""}",model.apple_store.apple_store__territory_report,"{""impressions_unique_device"":""Copied to the output with COALESCE(app_store_territory.impressions_unique_device, 0)""}"
model.apple_store_source.stg_apple_store__app_store_territory,page_views,"{""Direct"":""The column is directly copied, but with COALESCE to handle NULL values""}",model.apple_store.apple_store__territory_report,"{""page_views"":""Copied to the output with COALESCE(app_store_territory.page_views, 0)""}"
model.apple_store_source.stg_apple_store__app_store_territory,page_views_unique_device,"{""Direct"":""The column is directly copied, but with COALESCE to handle NULL values""}",model.apple_store.apple_store__territory_report,"{""page_views_unique_device"":""Copied to the output with COALESCE(app_store_territory.page_views_unique_device, 0)""}"
model.apple_store_source.stg_apple_store__downloads_territory,date_day,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as a key to join with other tables""}",model.apple_store.apple_store__territory_report,"{""date_day"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__downloads_territory,app_id,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as a key to join with other tables""}",model.apple_store.apple_store__territory_report,"{""app_id"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__downloads_territory,source_type,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as a key to join with other tables""}",model.apple_store.apple_store__territory_report,"{""source_type"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__downloads_territory,territory,"{""Integration"":""Used as a key to join with other tables"",""Cleaning"":""Used to determine territory_long and territory_short through joins with country_codes table""}",model.apple_store.apple_store__territory_report,"{""territory_long"":""Indirectly mapped through joins and coalesce operations"",""territory_short"":""Indirectly mapped through joins and coalesce operations""}"
model.apple_store_source.stg_apple_store__downloads_territory,first_time_downloads,"{""Direct"":""The column is directly copied, but with a COALESCE function to replace NULL with 0""}",model.apple_store.apple_store__territory_report,"{""first_time_downloads"":""Mapped with COALESCE(downloads_territory.first_time_downloads, 0)""}"
model.apple_store_source.stg_apple_store__downloads_territory,redownloads,"{""Direct"":""The column is directly copied, but with a COALESCE function to replace NULL with 0""}",model.apple_store.apple_store__territory_report,"{""redownloads"":""Mapped with COALESCE(downloads_territory.redownloads, 0)""}"
model.apple_store_source.stg_apple_store__downloads_territory,total_downloads,"{""Direct"":""The column is directly copied, but with a COALESCE function to replace NULL with 0""}",model.apple_store.apple_store__territory_report,"{""total_downloads"":""Mapped with COALESCE(downloads_territory.total_downloads, 0)""}"
model.apple_store_source.stg_apple_store__usage_territory,date_day,"{""Integration"":""used as a key to join with other tables"",""Direct"":""directly copied to the output""}",model.apple_store.apple_store__territory_report,"{""date_day"":""directly copied""}"
model.apple_store_source.stg_apple_store__usage_territory,app_id,"{""Integration"":""used as a key to join with other tables"",""Direct"":""directly copied to the output""}",model.apple_store.apple_store__territory_report,"{""app_id"":""directly copied""}"
model.apple_store_source.stg_apple_store__usage_territory,source_type,"{""Integration"":""used as a key to join with other tables"",""Direct"":""directly copied to the output""}",model.apple_store.apple_store__territory_report,"{""source_type"":""directly copied""}"
model.apple_store_source.stg_apple_store__usage_territory,territory,"{""Integration"":""used as a key to join with other tables"",""Cleaning"":""used to match with country codes for standardization""}",model.apple_store.apple_store__territory_report,"{""territory_long"":""indirectly mapped after cleaning and joining""}"
model.apple_store_source.stg_apple_store__usage_territory,active_devices,"{""Direct"":""directly copied to the output, with COALESCE for null handling""}",model.apple_store.apple_store__territory_report,"{""active_devices"":""copied with COALESCE(usage_territory.active_devices, 0)""}"
model.apple_store_source.stg_apple_store__usage_territory,active_devices_last_30_days,"{""Direct"":""directly copied to the output, with COALESCE for null handling""}",model.apple_store.apple_store__territory_report,"{""active_devices_last_30_days"":""copied with COALESCE(usage_territory.active_devices_last_30_days, 0)""}"
model.apple_store_source.stg_apple_store__usage_territory,deletions,"{""Direct"":""directly copied to the output, with COALESCE for null handling""}",model.apple_store.apple_store__territory_report,"{""deletions"":""copied with COALESCE(usage_territory.deletions, 0)""}"
model.apple_store_source.stg_apple_store__usage_territory,installations,"{""Direct"":""directly copied to the output, with COALESCE for null handling""}",model.apple_store.apple_store__territory_report,"{""installations"":""copied with COALESCE(usage_territory.installations, 0)""}"
model.apple_store_source.stg_apple_store__usage_territory,sessions,"{""Direct"":""directly copied to the output, with COALESCE for null handling""}",model.apple_store.apple_store__territory_report,"{""sessions"":""copied with COALESCE(usage_territory.sessions, 0)""}"
seed.apple_store_source.apple_store_country_codes,country_name,"{""Integration"":""Used to join with the reporting_grain table on the territory field""}",model.apple_store.apple_store__territory_report,"{""territory_long"":""Directly mapped when it matches the territory field""}"
seed.apple_store_source.apple_store_country_codes,alternative_country_name,"{""Integration"":""Used as an alternative join condition when country_name doesn't match""}",model.apple_store.apple_store__territory_report,"{""territory_long"":""Directly mapped when it matches the territory field and country_name doesn't""}"
seed.apple_store_source.apple_store_country_codes,country_code_alpha_2,"{""Cleaning"":""Used in a COALESCE function to provide a standardized short territory code""}",model.apple_store.apple_store__territory_report,"{""territory_short"":""Mapped through COALESCE, prioritizing the official country code""}"
seed.apple_store_source.apple_store_country_codes,region,"{""Cleaning"":""Used in a COALESCE function to provide the region information""}",model.apple_store.apple_store__territory_report,"{""region"":""Mapped through COALESCE, using either official or alternative country data""}"
seed.apple_store_source.apple_store_country_codes,sub_region,"{""Cleaning"":""Used in a COALESCE function to provide the sub-region information""}",model.apple_store.apple_store__territory_report,"{""sub_region"":""Mapped through COALESCE, using either official or alternative country data""}"
model.apple_store_source.stg_apple_store__usage_device_tmp,app_id,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast to INT type""}",model.apple_store_source.stg_apple_store__usage_device,"{""app_id"":""Directly copied after casting to INT""}"
model.apple_store_source.stg_apple_store__usage_device_tmp,date,"{""Cleaning"":""The column is cast to TIMESTAMP and then to DATE""}",model.apple_store_source.stg_apple_store__usage_device,"{""date_day"":""Transformed from TIMESTAMP to DATE""}"
model.apple_store_source.stg_apple_store__usage_device_tmp,device,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast to TEXT type""}",model.apple_store_source.stg_apple_store__usage_device,"{""device"":""Directly copied after casting to TEXT""}"
model.apple_store_source.stg_apple_store__usage_device_tmp,source_type,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast to TEXT type""}",model.apple_store_source.stg_apple_store__usage_device,"{""source_type"":""Directly copied after casting to TEXT""}"
model.apple_store_source.stg_apple_store__usage_device_tmp,installations,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast to INT type""}",model.apple_store_source.stg_apple_store__usage_device,"{""installations"":""Directly copied after casting to INT""}"
model.apple_store_source.stg_apple_store__usage_device_tmp,sessions,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast to INT type""}",model.apple_store_source.stg_apple_store__usage_device,"{""sessions"":""Directly copied after casting to INT""}"
model.apple_store_source.stg_apple_store__usage_device_tmp,active_devices,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast to INT type""}",model.apple_store_source.stg_apple_store__usage_device,"{""active_devices"":""Directly copied after casting to INT""}"
model.apple_store_source.stg_apple_store__usage_device_tmp,active_devices_last_30_days,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast to INT type""}",model.apple_store_source.stg_apple_store__usage_device,"{""active_devices_last_30_days"":""Directly copied after casting to INT""}"
model.apple_store_source.stg_apple_store__usage_device_tmp,deletions,"{""Direct"":""The 'deletions' column is directly copied from the input to the output without any transformation."",""Cleaning"":""The column is cast to INT type in the 'fields' CTE, ensuring consistent data type.""}",model.apple_store_source.stg_apple_store__usage_device,"{""deletions"":""The 'deletions' column is directly mapped to the output 'deletions' column.""}"
model.apple_store_source.stg_apple_store__usage_platform_version_tmp,app_id,"{""Direct"":""The column is directly copied without any transformation""}",model.apple_store_source.stg_apple_store__usage_platform_version,"{""app_id"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__usage_platform_version_tmp,date,"{""Cleaning"":""The column is cast to DATE type""}",model.apple_store_source.stg_apple_store__usage_platform_version,"{""date_day"":""Cast to DATE type and renamed""}"
model.apple_store_source.stg_apple_store__usage_platform_version_tmp,platform_version,"{""Direct"":""The column is directly copied without any transformation""}",model.apple_store_source.stg_apple_store__usage_platform_version,"{""platform_version"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__usage_platform_version_tmp,source_type,"{""Direct"":""The column is directly copied without any transformation""}",model.apple_store_source.stg_apple_store__usage_platform_version,"{""source_type"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__usage_platform_version_tmp,installations,"{""Direct"":""The column is directly copied without any transformation""}",model.apple_store_source.stg_apple_store__usage_platform_version,"{""installations"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__usage_platform_version_tmp,sessions,"{""Direct"":""The column is directly copied without any transformation""}",model.apple_store_source.stg_apple_store__usage_platform_version,"{""sessions"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__usage_platform_version_tmp,active_devices,"{""Direct"":""The column is directly copied without any transformation""}",model.apple_store_source.stg_apple_store__usage_platform_version,"{""active_devices"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__usage_platform_version_tmp,active_devices_last_30_days,"{""Direct"":""The column is directly copied without any transformation""}",model.apple_store_source.stg_apple_store__usage_platform_version,"{""active_devices_last_30_days"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__usage_platform_version_tmp,deletions,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cleaned by casting it to INT type in the 'fields' CTE""}",model.apple_store_source.stg_apple_store__usage_platform_version,"{""deletions"":""It is directly copied to the 'deletions' column in the final output""}"
model.apple_store_source.stg_apple_store__downloads_platform_version_tmp,app_id,"{""Direct"":""The column is directly copied without any transformation""}",model.apple_store_source.stg_apple_store__downloads_platform_version,"{""app_id"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__downloads_platform_version_tmp,date,"{""Cleaning"":""The column is cleaned by casting to DATE type""}",model.apple_store_source.stg_apple_store__downloads_platform_version,"{""date_day"":""Casted to DATE type and renamed""}"
model.apple_store_source.stg_apple_store__downloads_platform_version_tmp,platform_version,"{""Direct"":""The column is directly copied without any transformation""}",model.apple_store_source.stg_apple_store__downloads_platform_version,"{""platform_version"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__downloads_platform_version_tmp,source_type,"{""Direct"":""The column is directly copied without any transformation""}",model.apple_store_source.stg_apple_store__downloads_platform_version,"{""source_type"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__downloads_platform_version_tmp,first_time_downloads,"{""Direct"":""The column is directly copied without any transformation""}",model.apple_store_source.stg_apple_store__downloads_platform_version,"{""first_time_downloads"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__downloads_platform_version_tmp,redownloads,"{""Direct"":""The column is directly copied without any transformation""}",model.apple_store_source.stg_apple_store__downloads_platform_version,"{""redownloads"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__downloads_platform_version_tmp,total_downloads,"{""Direct"":""The column is directly copied without any transformation""}",model.apple_store_source.stg_apple_store__downloads_platform_version,"{""total_downloads"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__app,app_id,"{""Integration"":""Used as a key to join with other tables"",""Direct"":""Directly copied to the output without transformation""}",model.apple_store.apple_store__source_type_report,"{""app_id"":""Directly copied to the output column 'app_id'""}"
model.apple_store_source.stg_apple_store__app,app_name,"{""Direct"":""Directly copied to the output without transformation""}",model.apple_store.apple_store__source_type_report,"{""app_name"":""Directly copied to the output column 'app_name'""}"
model.apple_store_source.stg_apple_store__app,app_id,"{""Integration"":""used as a key to join with other tables"",""Direct"":""directly copied to the output""}",model.apple_store.apple_store__overview_report,"{""app_id"":""directly copied""}"
model.apple_store_source.stg_apple_store__app,app_name,"{""Direct"":""directly copied to the output""}",model.apple_store.apple_store__overview_report,"{""app_name"":""directly copied""}"
model.apple_store_source.stg_apple_store__crashes_platform_version_tmp,app_id,"{""Direct"":""The column is directly copied without any transformation""}",model.apple_store_source.stg_apple_store__crashes_platform_version,"{""app_id"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__crashes_platform_version_tmp,date,"{""Cleaning"":""The column is cast to DATE type""}",model.apple_store_source.stg_apple_store__crashes_platform_version,"{""date_day"":""Transformed and renamed from 'date'""}"
model.apple_store_source.stg_apple_store__crashes_platform_version_tmp,device,"{""Direct"":""The column is directly copied without any transformation""}",model.apple_store_source.stg_apple_store__crashes_platform_version,"{""device"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__crashes_platform_version_tmp,platform_version,"{""Direct"":""The column is directly copied without any transformation""}",model.apple_store_source.stg_apple_store__crashes_platform_version,"{""platform_version"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__crashes_platform_version_tmp,crashes,"{""Direct"":""The column is directly copied without any transformation""}",model.apple_store_source.stg_apple_store__crashes_platform_version,"{""crashes"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__app_tmp,id,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as INT in the 'fields' CTE""}",model.apple_store_source.stg_apple_store__app,"{""app_id"":""It is directly mapped to app_id in the final output""}"
model.apple_store_source.stg_apple_store__app_tmp,is_enabled,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as BOOLEAN in the 'fields' CTE""}",model.apple_store_source.stg_apple_store__app,"{""is_enabled"":""It is directly mapped to is_enabled in the final output""}"
model.apple_store_source.stg_apple_store__app_tmp,name,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as TEXT in the 'fields' CTE""}",model.apple_store_source.stg_apple_store__app,"{""app_name"":""It is directly mapped to app_name in the final output""}"
model.apple_store_source.stg_apple_store__app_store_territory_tmp,app_id,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as INT in the 'fields' CTE""}",model.apple_store_source.stg_apple_store__app_store_territory,"{""app_id"":""Directly mapped to the output column 'app_id'""}"
model.apple_store_source.stg_apple_store__app_store_territory_tmp,date,"{""Cleaning"":""The column is cast as TIMESTAMP in the 'fields' CTE and then as DATE in the 'final' CTE""}",model.apple_store_source.stg_apple_store__app_store_territory,"{""date_day"":""Mapped to the output column 'date_day' after casting to DATE""}"
model.apple_store_source.stg_apple_store__app_store_territory_tmp,source_type,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as TEXT in the 'fields' CTE""}",model.apple_store_source.stg_apple_store__app_store_territory,"{""source_type"":""Directly mapped to the output column 'source_type'""}"
model.apple_store_source.stg_apple_store__app_store_territory_tmp,territory,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as TEXT in the 'fields' CTE""}",model.apple_store_source.stg_apple_store__app_store_territory,"{""territory"":""Directly mapped to the output column 'territory'""}"
model.apple_store_source.stg_apple_store__app_store_territory_tmp,impressions,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as INT in the 'fields' CTE""}",model.apple_store_source.stg_apple_store__app_store_territory,"{""impressions"":""Directly mapped to the output column 'impressions'""}"
model.apple_store_source.stg_apple_store__app_store_territory_tmp,impressions_unique_device,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as INT in the 'fields' CTE""}",model.apple_store_source.stg_apple_store__app_store_territory,"{""impressions_unique_device"":""Directly mapped to the output column 'impressions_unique_device'""}"
model.apple_store_source.stg_apple_store__app_store_territory_tmp,page_views,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as INT in the 'fields' CTE""}",model.apple_store_source.stg_apple_store__app_store_territory,"{""page_views"":""Directly mapped to the output column 'page_views'""}"
